Week,Stratum,Number of Sites,Number of Tows,Total Number Caught,Number Marked,Number of Code 9's,Total Sample Volume,Abundance Index,Lower Bound,Upper Bound
1,Suisun Bay,5,20,0,0,0,"103,018",0*,NA,NA
1,Suisun Marsh,6,24,0,0,0,"117,435",0*,NA,NA
1,Lower Sacramento,6,22,0,0,0,"80,886",0*,NA,NA
1,Cache Slough LI,7,25,0,0,0,"95,635",0*,NA,NA
1,Sac DW Ship Channel,6,24,0,0,0,"77,127",0*,NA,NA
1,Lower San Joaquin,6,24,0,0,0,"96,208",0*,NA,NA
1,All Strata,36,139,0,0,0,"570,310",0*,NA,NA
2,Suisun Bay,2,8,0,0,0,"40,957",0*,NA,NA
2,Suisun Marsh,6,22,0,0,0,"107,367",0*,NA,NA
2,Lower Sacramento,3,12,0,0,0,"53,079",0*,NA,NA
2,Cache Slough LI,5,20,0,0,0,"64,668",0*,NA,NA
2,Sac DW Ship Channel,6,24,0,0,0,"89,304",0*,NA,NA
2,Lower San Joaquin,6,24,0,0,0,"102,125",0*,NA,NA
2,All Strata,28,110,0,0,0,"457,500",0*,NA,NA
3,Suisun Bay,6,22,0,0,0,"128,403",0*,NA,NA
3,Suisun Marsh,6,22,1,0,0,"115,314",877,94,"3,491"
3,Lower Sacramento,6,24,0,0,0,"90,774",0*,NA,NA
3,Cache Slough LI,6,20,0,0,0,"70,280",0*,NA,NA
3,Sac DW Ship Channel,6,22,0,0,0,"79,389",0*,NA,NA
3,Lower San Joaquin,6,24,0,0,0,"93,740",0*,NA,NA
3,All Strata,36,134,1,0,0,"577,900",877,94,"3,491"
4,Suisun Bay,6,22,0,0,0,"95,038",0*,NA,NA
4,Suisun Marsh,7,23,0,0,0,"103,397",0*,NA,NA
4,Lower Sacramento,6,24,0,0,0,"97,622",0*,NA,NA
4,Cache Slough LI,6,24,0,0,0,"77,714",0*,NA,NA
4,Sac DW Ship Channel,6,24,0,0,0,"96,615",0*,NA,NA
4,Lower San Joaquin,6,24,0,0,0,"95,972",0*,NA,NA
4,All Strata,37,141,0,0,0,"566,359",0*,NA,NA
5,Suisun Bay,4,14,0,0,0,"61,004",0*,NA,NA
5,Suisun Marsh,5,20,0,0,0,"92,824",0*,NA,NA
5,Lower Sacramento,6,24,0,0,0,"97,191",0*,NA,NA
5,Cache Slough LI,6,24,0,0,0,"80,122",0*,NA,NA
5,Sac DW Ship Channel,6,24,0,0,0,"88,275",0*,NA,NA
