GMT,SAMC1,SACC1,VONC1,FMWC1,DRMC1,RCVC1,SACC1,FMWC1L,SACC1L,SAMC1L,NCOC1L,SACC1,SAMC1,NCOC1
,QINE,QINE,QINE,QINE,QINE,QINE,SQIN,SQIN,SQIN,SQIN,SQIN,SSTG,SSTG,SSTG
2026-02-14 18:00:00,3.10179,34.62017,30.37777,28.50746,0.34418,0.031,34.09123,0.06247,0.02114,0.00029,0.00146,13.2,16.97,23.82
2026-02-14 19:00:00,3.067,34.5859,30.37777,28.42868,0.34418,0.03034,33.99091,0.06211,0.02112,0.00029,0.00145,13.19,16.95,23.82
2026-02-14 20:00:00,3.01547,34.55164,30.32878,28.42868,0.34418,0.03034,33.98907,0.06175,0.02111,0.00029,0.00144,13.18,16.92,23.83
2026-02-14 21:00:00,2.99846,34.5859,30.30431,28.37622,0.34418,0.0297,33.96889,0.06141,0.02109,0.00029,0.00143,13.19,16.91,23.82
2026-02-14 22:00:00,3.01547,34.68873,30.32878,28.29763,0.34418,0.0297,33.99396,0.06107,0.02107,0.00029,0.00143,13.22,16.92,23.81
2026-02-14 23:00:00,3.01547,34.82594,30.32878,28.29763,0.34418,0.02906,33.90555,0.06074,0.02106,0.00029,0.00142,13.26,16.92,23.82
2026-02-15 00:00:00,2.99846,34.96327,30.25536,28.21916,0.3408,0.02906,33.891,0.06042,0.02104,0.00029,0.00142,13.3,16.91,23.79
2026-02-15 01:00:00,2.99846,35.10074,30.25536,28.08865,0.34759,0.02844,33.87627,0.0601,0.02103,0.00029,0.00142,13.34,16.91,23.79
2026-02-15 02:00:00,2.99846,35.20392,30.20644,28.08865,0.35104,0.02844,33.81642,0.05979,0.02101,0.00029,0.00141,13.37,16.91,23.77
2026-02-15 03:00:00,2.99846,35.20392,30.23089,28.0105,0.3408,0.02784,33.78397,0.05949,0.021,0.00029,0.00141,13.37,16.91,23.77
2026-02-15 04:00:00,3.01547,35.13512,30.15754,28.03653,0.36119,0.02784,33.79974,0.05919,0.02098,0.00029,0.0014,13.35,16.92,23.76
2026-02-15 05:00:00,3.01547,35.06636,30.15754,27.98448,0.35439,0.02784,33.78955,0.0589,0.02096,0.00029,0.00139,13.33,16.92,23.76
2026-02-15 06:00:00,3.01547,34.89459,30.15754,27.82861,0.34759,0.02725,33.71144,0.05862,0.02095,0.00029,0.00139,13.28,16.92,23.74
2026-02-15 07:00:00,3.01547,34.72302,30.10866,27.90649,0.34418,0.02725,33.70417,0.05835,0.02093,0.00029,0.00138,13.23,16.92,23.74
2026-02-15 08:00:00,2.99846,34.55164,30.05981,27.82861,0.34759,0.02725,33.65237,0.05808,0.02091,0.00029,0.00138,13.18,16.91,23.73
2026-02-15 09:00:00,2.99846,34.34626,30.03539,27.72497,0.34759,0.02725,33.66962,0.05781,0.0209,0.00029,0.00138,13.12,16.91,23.73
2026-02-15 10:00:00,2.99846,34.17533,30.01098,27.69909,0.34418,0.02667,33.59392,0.05755,0.02088,0.00029,0.00137,13.07,16.91,23.72
2026-02-15 11:00:00,2.99846,34.03872,30.03539,27.67597,0.34759,0.02667,33.59089,0.0573,0.02086,0.00029,0.00137,13.03,16.91,23.71
2026-02-15 12:00:00,3.01547,34.00459,29.93778,27.58362,0.34759,0.02667,33.58652,0.05705,0.02085,0.00029,0.00136,13.02,16.92,23.7
2026-02-15 13:00:00,3.01547,33.93636,29.88902,27.5375,0.36119,0.02667,33.53433,0.05681,0.02083,0.00029,0.00136,13,16.92,23.69
2026-02-15 14:00:00,3.01547,34.00459,29.91339,27.49142,0.35778,0.0261,33.48323,0.05657,0.02082,0.00029,0.00135,13.02,16.92,23.68
2026-02-15 15:00:00,3.01547,34.07286,29.84027,27.44538,0.36119,0.0261,33.45653,0.05634,0.0208,0.00029,0.00135,13.04,16.92,23.68
2026-02-15 16:00:00,3.03256,34.14116,29.84027,27.42236,0.35778,0.02554,33.43155,0.05612,0.02078,0.00029,0.00134,13.06,16.93,23.66
2026-02-15 17:00:00,3.03256,34.10701,29.7672,27.39937,0.36464,0.02554,33.45144,0.0559,0.02077,0.00029,0.00134,13.05,16.93,23.66
2026-02-15 18:00:00,3.03256,34.10701,29.71851,27.33043,0.37164,0.02554,33.35202,0.05569,0.02075,0.00029,0.00134,13.05,16.93,23.65
2026-02-15 19:00:00,2.99846,34.10701,29.64552,27.30747,0.36813,0.02554,33.30307,0.05549,0.02074,0.00029,0.00134,13.05,16.91,23.64
2026-02-15 20:00:00,3.01547,34.07286,29.62121,27.21573,0.36813,0.025,33.32457,0.05529,0.02072,0.00029,0.00133,13.04,16.92,23.62
2026-02-15 21:00:00,2.98154,34.03872,29.5726,27.16991,0.36464,0.025,33.25083,0.05511,0.0207,0.00029,0.00133,13.03,16.9,23.62
2026-02-15 22:00:00,2.98154,34.07286,29.524,27.05553,0.36813,0.025,33.24839,0.05494,0.02069,0.00029,0.00132,13.04,16.9,23.6
2026-02-15 23:00:00,2.98154,34.17533,29.49972,27.05553,0.37164,0.025,33.17356,0.05477,0.02067,0.00029,0.00132,13.07,16.9,23.61
2026-02-16 00:00:00,2.98154,34.38047,29.47543,27.00985,0.37164,0.02432,33.12266,0.05462,0.02066,0.00029,0.00131,13.13,16.9,23.6
2026-02-16 01:00:00,2.98154,34.55164,29.42689,26.9642,0.36813,0.02432,33.04875,0.05447,0.0211,0.00376,0.00131,13.18,16.9,23.58
2026-02-16 02:00:00,2.98154,34.68873,29.40262,26.9186,0.37877,0.02432,33.02427,0.05434,0.02236,0.01277,0.0013,13.22,16.9,23.57
2026-02-16 03:00:00,2.99846,34.72302,29.35411,26.89581,0.37519,0.02432,32.97594,0.05423,0.02425,0.0251,0.0013,13.23,16.91,23.57
2026-02-16 04:00:00,2.99846,34.65444,29.35411,26.80475,0.37519,0.02432,32.92846,0.05413,0.02663,0.03943,0.0013,13.21,16.91,23.55
2026-02-16 05:00:00,2.98154,34.5859,29.30562,26.75927,0.38239,0.02432,32.90603,0.05403,0.0294,0.05496,0.0013,13.19,16.9,23.53001
2026-02-16 06:00:00,2.98154,34.44892,29.28139,26.782,0.3928,0.02554,32.88361,0.05396,0.03246,0.07121,0.00129,13.15,16.9,23.50001
2026-02-16 07:00:00,3.01547,34.34626,29.23295,26.73655,0.39968,0.02667,32.84293,0.05401,0.04161,0.10564,0.00129,13.12,16.92,23.47
2026-02-16 08:00:00,3.22637,34.27786,29.18452,26.64575,0.41381,0.02784,32.83728,0.05433,0.06132,0.16875,0.0013,13.1,17.04,23.41
2026-02-16 09:00:00,3.37421,34.2095,29.11192,26.60041,0.47389,0.02844,32.81553,0.05489,0.08925,0.24906,0.00131,13.08,17.12,23.35001
2026-02-16 10:00:00,3.48459,34.14116,28.99105,26.50984,0.53993,0.03034,32.84938,0.05569,0.12358,0.33969,0.00134,13.06,17.18,23.27
2026-02-16 11:00:00,3.51909,34.07286,28.94274,26.41942,0.64252,0.03295,32.83881,0.05672,0.16288,0.43651,0.00137,13.04,17.2,23.17001
2026-02-16 12:00:00,3.53646,34.07286,28.82208,26.37427,0.76188,0.038,32.85678,0.05798,0.20604,0.53705,0.00141,13.04,17.21,23.08
2026-02-16 13:00:00,3.53646,34.17533,28.70157,26.19404,0.85167,0.04428,32.85594,0.06091,0.2552,0.62654,0.00149,13.07,17.21,22.99
2026-02-16 14:00:00,3.57141,34.27786,28.55715,26.12661,1.02823,0.04828,32.86272,0.0669,0.31199,0.69611,0.00165,13.1,17.23,22.88
2026-02-16 15:00:00,3.66014,34.41469,28.43697,26.05926,1.1243,0.05231,32.85043,0.07586,0.37473,0.75374,0.00189,13.14,17.28,22.80001
2026-02-16 16:00:00,3.78762,34.55164,28.26897,25.94721,1.12981,0.05745,32.79258,0.08772,0.44208,0.8042,0.00219,13.18,17.35,22.70001
2026-02-16 17:00:00,4.07406,34.68873,28.1731,25.79074,1.1243,0.06647,32.81291,0.1024,0.51303,0.85036,0.00256,13.22,17.5,22.61
2026-02-16 18:00:00,4.29609,34.82594,28.07732,25.76842,1.0917,0.15311,32.76108,0.11981,0.58677,0.89394,0.00298,13.26,17.61,22.53001
2026-02-16 19:00:00,4.33758,34.96327,27.93384,25.65699,1.05975,0.80894,32.72864,0.14409,0.68026,0.92365,0.00352,13.3,17.63,22.45999
2026-02-16 20:00:00,4.25494,35.03199,27.83831,25.5458,1.02299,1.49917,32.70476,0.17925,0.80666,0.93272,0.0042,13.32,17.59,22.4
2026-02-16 21:00:00,4.09382,35.03199,27.71903,25.5458,1.00743,1.73216,32.73002,0.22499,0.95868,0.9294,0.00502,13.32,17.51,22.35
2026-02-16 22:00:00,3.919,35.03199,27.67136,25.56802,0.9817,1.77979,32.72816,0.28101,1.1306,0.91865,0.00595,13.32,17.42,22.30001
2026-02-16 23:00:00,3.78762,35.06636,27.59991,25.52358,0.97653,1.76059,32.81522,0.34705,1.31802,0.90345,0.00701,13.33,17.35,22.28001
2026-02-17 00:00:00,3.67811,35.20392,27.5523,25.43483,0.9511,1.70419,32.9125,0.42281,1.51748,0.88557,0.00818,13.37,17.29,22.26999
