GMT,FRAC1,LTDC1,HIDC1,BHNC1,MPAC1,OWCC1,BNCC1,BCKC1,MEEC1,HPIC1,POHC1,EXQC1,DSNC1,STVC1,NWMC1,LGCC1,WARC1,LGAC1,PNEC1,LBDC1,OREC1,PATC1,HETC1,LNRC1,CHVC1F,DCMC1,NDPC1,MDSC1,NDVC1,NSWC1,AVYC1,NMSC1,OBBC1,RIPC1,PTTC1,VNSC1,KNFC1L,STVC1,MDSC1,OBBC1,RIPC1,NWMC1,CRDC1,PATC1,MZRC1,VNSC1,AVYC1L,NDPC1L
,QINE,QINE,QINE,QINE,QINE,QINE,QINE,QINE,QINE,QINE,QINE,QINE,QINE,QINE,QINE,QINE,QINE,QINE,QINE,QINE,QINE,QINE,QINE,QINE,QINE,QINE,QINE,QINE,QINE,QINE,QINE,QINE,QINE,QINE,QINE,QINE,QINE,QINE,QINE,QINE,QINE,QINE,QINE,QINE,QINE,QINE,SQIN,SQIN
2026-02-15 18:00:00,1.10042,0,0.03096,0.04142,0.012,0.002,0.005,0.005,0.00601,0.15639,0.33794,0.98729,0.00726,0.65607,1.16489,0.00036,0.00227,0.00267,0,-0.01878,0.00001,1.21914,0.4068,0.08473,0.12896,0.005,2.11866,1.29238,0.05071,0.13336,0.19802,0.09299,0.26003,0.25702,0.0011,2.84557,0.00944,0.65607,1.29238,0.26003,0.25702,1.16489,1.15251,1.21914,2.4125,2.84557,0.18035,0.40745
2026-02-15 19:00:00,1.00112,0,0.03846,0.04242,0.012,0.002,0.005,0.005,0.00543,0.15639,0.33794,1.389,0.007,0.65607,1.16489,0.00036,0.00226,0.00263,0,-0.02608,0.00001,1.21914,0.40292,0.11199,0.11524,0.005,2.27045,1.29238,0.05033,0.14074,0.19702,0.15508,0.26303,0.25702,0.0011,2.82866,0.00942,0.65607,1.29238,0.26303,0.25702,1.16489,1.15251,1.21914,2.41421,2.82866,0.17895,0.43832
2026-02-15 20:00:00,0.85232,0,0.03849,0.04242,0.012,0.002,0.005,0.005,0.00601,0.15387,0.33469,1.44664,0.007,0.65607,1.16489,0.00036,0.00226,0.00266,0,-0.02831,0.00001,1.21914,0.36423,0.14798,0.17869,0.005,2.42224,1.29598,0.05102,0.11797,0.19602,0.21751,0.26303,0.25553,0.0011,2.83711,0.00941,0.65607,1.29598,0.26303,0.25553,1.16489,1.15251,1.21914,2.4158,2.83711,0.17789,0.46919
2026-02-15 21:00:00,0.70395,0,0.03102,0.04242,0.012,0.002,0.005,0.005,0.00543,0.15119,0.33794,1.39032,0.007,0.65307,1.16489,0.00036,0.00226,0.00262,0,-0.02546,0.00001,1.21914,0.3254,0.15633,0.2238,0.004,2.57403,1.29238,0.05143,0.08409,0.19602,0.2801,0.26303,0.25553,0.0011,2.83711,0.00939,0.65307,1.29238,0.26303,0.25553,1.16489,1.15251,1.21914,2.41725,2.83711,0.17699,0.50006
2026-02-15 22:00:00,0.60541,0,0.03102,0.03434,0.013,0.002,0.005,0.005,0.00601,0.15119,0.33469,1.39212,0.007,0.65607,1.16849,0.00036,0.00225,0.00261,0,-0.0226,0.00001,1.22314,0.26729,0.1283,0.1928,0.004,2.62734,1.2996,0.05036,0.09454,0.19602,0.343,0.26003,0.25404,0.0011,2.83711,0.00937,0.65607,1.2996,0.26003,0.25404,1.16849,1.15634,1.22314,2.41864,2.83711,0.17639,0.53093
2026-02-15 23:00:00,0.57217,0,0.03099,0.03434,0.013,0.002,0.005,0.005,0.00601,0.15387,0.33146,1.27795,0.007,0.65307,1.16849,0.00036,0.00225,0.00261,0,-0.01943,0.00001,1.22714,0.19067,0.10174,0.10199,0.004,2.68066,1.2996,0.05071,0.11544,0.19602,0.4056,0.26003,0.25255,0.0011,2.83711,0.00936,0.65307,1.2996,0.26003,0.25255,1.16849,1.15634,1.22714,2.42005,2.83711,0.1755,0.5618
2026-02-16 00:00:00,0.57184,0,0.03846,0.02625,0.013,0.001,0.005,0.005,0.00601,0.15387,0.33146,1.0481,0.007,0.65607,1.16489,0.00036,0.00224,0.0026,0,-0.01377,0.00001,1.22314,0.15181,0.1028,0.0994,0.004,2.73397,1.29598,0.05142,0.10372,0.19302,0.4675,0.26003,0.25255,0.0011,2.85404,0.00934,0.65607,1.29598,0.26003,0.25255,1.16489,1.15251,1.22314,2.42143,2.85404,0.17391,0.59266
2026-02-16 01:00:00,0.605,0,0.04597,0.01717,0.013,0.001,0.004,0.005,0.00601,0.15387,0.32504,0.64544,0.007,0.65307,1.16849,0.00036,0.00224,0.0026,0,-0.00777,0.00001,1.22314,0.11295,0.08426,0.17987,0.004,2.78728,1.30322,0.05071,0.09263,0.19102,0.52794,0.26303,0.25107,0.0011,2.86253,0.00932,0.65307,1.30322,0.26303,0.25107,1.16849,1.15634,1.22314,2.42287,2.86253,0.17202,0.62353
2026-02-16 02:00:00,0.67133,0,0.05347,0.01717,0.013,0.001,0.004,0.005,0.00601,0.15387,0.32824,0.30061,0.007,0.65307,1.16489,0.00036,0.00223,0.0026,0,0.00003,0.00001,1.22314,0.01703,0.04754,0.22229,0.004,2.8406,1.30322,0.0507,0.07415,0.19302,0.58903,0.26003,0.25107,0.0011,2.84557,0.00931,0.65307,1.30322,0.26003,0.25107,1.16489,1.15251,1.22314,2.42436,2.84557,0.17053,0.6544
2026-02-16 03:00:00,0.7372,0,0.06098,0.02625,0.013,0.001,0.004,0.005,0.00665,0.15893,0.32504,0.06966,0.007,0.65007,1.16849,0.00032,0.00223,0.00259,0,0.00427,0.00001,1.21914,0,0.04756,0.11975,0.004,2.89391,1.30322,0.05213,0.08092,0.19202,0.65094,0.26303,0.24959,0.0011,2.85404,0.0093,0.65007,1.30322,0.26303,0.24959,1.16849,1.15251,1.21914,2.42573,2.85404,0.16961,0.68527
2026-02-16 04:00:00,0.80291,0,0.06845,0.02625,0.012,0.001,0.004,0.005,0.00665,0.15639,0.33146,-0.21865,0.007,0.65307,1.16489,0.00032,0.00223,0.00259,0,0.00848,0.00001,1.21914,0,0.0934,0.07954,0.004,3.05385,1.30684,0.05071,0.08768,0.19302,0.7138,0.26303,0.24812,0.0011,2.85404,0.00928,0.65307,1.30684,0.26303,0.24812,1.16489,1.15251,1.21914,2.4272,2.85404,0.16933,0.71614
2026-02-16 05:00:00,0.83509,0,0.06845,0.02625,0.012,0.001,0.004,0.005,0.00665,0.15639,0.32824,-0.27517,0.007,0.65307,1.16849,0.00032,0.00222,0.00263,0,0.01589,0.00001,1.21914,0.01507,0.12103,0.19288,0.004,3.21379,1.30684,0.05071,0.06308,0.19102,0.77738,0.26303,0.24812,0.0011,2.86253,0.00927,0.65307,1.30684,0.26303,0.24812,1.16849,1.15251,1.21914,2.42877,2.86253,0.16919,0.74701
2026-02-16 06:00:00,0.97546,0,0.06106,0.01717,0.012,0.001,0.004,0.005,0.00665,0.15639,0.33146,-0.04233,0.007,0.65307,1.16849,0.00032,0.00222,0.00263,0,0.01942,0.00001,1.21914,0,0.10249,0.2341,0.004,3.37373,1.30322,0.05034,0.05202,0.19102,0.842,0.26303,0.24812,0.0011,2.86253,0.00925,0.65307,1.30322,0.26303,0.24812,1.16849,1.15634,1.21914,2.43029,2.86253,0.16961,0.77788
