GMT,SAMC1,SACC1,VONC1,FMWC1,DRMC1,FPOC1,RCVC1,SACC1,FMWC1L,SACC1L,SAMC1L,NCOC1L,SACC1,SAMC1,NCOC1
,QINE,QINE,QINE,QINE,QINE,QINE,QINE,SQIN,SQIN,SQIN,SQIN,SQIN,SSTG,SSTG,SSTG
2026-05-20 12:00:00,2.9313,11.35212,7.90238,8.64957,0.19649,5.63063,0.02302,10.99847,0.02874,0.02198,0.00048,0,6.09,16.87,16.93998
2026-05-20 13:00:00,2.86548,12.04802,7.8531,8.58847,0.19418,2.19024,0.02302,10.92855,0.02873,0.02196,0.00048,0,6.32,16.83,16.93998
2026-05-20 14:00:00,2.78508,13.258,7.80393,8.51243,0.19649,0.99111,0.0224,10.86321,0.02872,0.02194,0.00048,0,6.72,16.78,16.93998
2026-05-20 15:00:00,2.72222,14.47173,7.77119,8.45188,0.19649,1.30014,0.0224,10.7993,0.02871,0.02193,0.00048,0,7.11,16.74,16.93998
2026-05-20 16:00:00,2.64543,15.36373,7.75483,8.39158,0.19418,4.26047,0.0224,10.73745,0.0287,0.02191,0.00048,0,7.39,16.69,16.93998
2026-05-20 17:00:00,2.60029,15.51914,7.77119,8.3465,0.19883,9.71108,0.0224,10.67438,0.02869,0.0219,0.00048,0,7.44,16.66,16.93998
2026-05-20 18:00:00,2.5435,15.01254,7.82031,8.31654,0.19418,12.10135,0.0224,10.61084,0.02868,0.02188,0.00048,0,7.28,16.63,16.93998
2026-05-20 19:00:00,2.52483,14.37703,7.8367,8.30157,0.19649,13.00145,0.0224,10.54585,0.02867,0.02187,0.00048,0,7.08,16.62,16.93998
2026-05-20 20:00:00,2.52483,13.72034,7.8367,8.27169,0.19649,13.70153,0.02302,10.48222,0.02866,0.02185,0.00048,0,6.87,16.62,16.93998
2026-05-20 21:00:00,2.52483,13.07465,7.78756,8.24188,0.19649,14.10157,0.02302,10.42558,0.02865,0.02183,0.00048,0,6.66,16.62,16.93998
2026-05-20 22:00:00,2.50628,12.38027,7.73849,8.21213,0.2012,14.50162,0.0224,10.38256,0.02864,0.02182,0.00048,0,6.43,16.61,16.93998
2026-05-20 23:00:00,2.50628,11.65277,7.68953,8.18243,0.18964,14.50162,0.0224,10.36026,0.02863,0.0218,0.00048,0,6.19,16.61,16.93998
2026-05-21 00:00:00,2.50628,10.90673,7.59187,8.13801,0.1919,14.60163,0.0224,10.35509,0.02863,0.02179,0.00048,0,5.94,16.61,16.93998
2026-05-21 01:00:00,2.50628,10.21712,7.49459,8.07899,0.18964,14.10157,0.02302,10.35452,0.02862,0.02177,0.00048,0,5.7,16.61,16.93998
2026-05-21 02:00:00,2.52483,9.54775,7.26904,8.04957,0.19649,11.20125,0.02302,10.34577,0.02861,0.02175,0.00048,0,5.46,16.62,16.93998
2026-05-21 03:00:00,2.52483,9.27223,7.07735,8.00555,0.2036,7.55084,0.02302,10.322,0.0286,0.02174,0.00048,0,5.36,16.62,16.93998
2026-05-21 04:00:00,2.52483,9.54775,6.96623,7.94709,0.19649,4.81054,0.02302,10.28641,0.02859,0.02172,0.00048,0,5.46,16.62,16.93998
2026-05-21 05:00:00,2.52483,10.27364,6.91876,7.88886,0.19649,3.77042,0.02302,10.23674,0.02858,0.02171,0.00048,0,5.72,16.62,16.93998
