Surface Oriented Particles for 350 (Cache Slough),,,,,,
OMR Flow Bin,Past Chipps,Upstream of Decker,Unresolved in Central Delta,Unresolved in OMR corridor,CVP Entrainment,SWP Entrainment
,,,,,,
"-6,500",-,-,-,-,-,-
"-5,000",38.3,76.6,61.7,0,0,0
"-3,500",6,68.2,94,0,0,0
"-2,000",6,68.2,94,0,0,0
"-6,500",-,-,-,-,-,-
"-5,000",73.9,81.8,26.2,0.1,0,0
"-3,500",46.4,77.4,54,0.4,0,0
"-2,000",48.1,78,52.1,0.2,0,0
"-6,500",-,-,-,-,-,-
"-5,000",82.5,83.4,17.8,0.2,0,0.1
"-3,500",60.9,81.1,39.9,0.7,0,0.1
"-2,000",63.8,80.4,36.7,0.3,0,0.1
