Neutral Particles for 99 (Old River),,,,,,
OMR Flow Bin,Past Chipps,Upstream of Decker,Unresolved in Central Delta,Unresolved in OMR corridor,CVP Entrainment,SWP Entrainment
,,,,,,
"-6,500",0.0,0.3,23.9,51.1,24.9,0.1
"-5,000",0.0,0.3,23.9,51.1,24.9,0.1
"-3,500",0.0,<0.1,30.9,57.7,11.3,0.1
"-2,000",0.0,0.3,58.4,41.6,0.0,0.0
"-6,500",0.4,2.8,18.7,26.6,53.2,1.1
"-5,000",0.4,2.8,18.7,26.6,53.2,1.1
"-3,500",0.4,2.6,24.3,27.9,46.2,1.2
"-2,000",0.7,5.2,49.1,39.5,10.2,0.5
"-6,500",1.3,4.0,14.5,21.9,60.1,2.3
"-5,000",1.3,4.0,14.5,21.9,60.1,2.3
"-3,500",2.4,4.8,18.4,23.8,52.6,2.8
"-2,000",5.8,8.9,38.8,35.4,18.2,1.9
