Surface Oriented Particles for 99 (Old River),,,,,,
OMR Flow Bin,Past Chipps,Upstream of Decker,Unresolved in Central Delta,Unresolved in OMR corridor,CVP Entrainment,SWP Entrainment
,,,,,,
"-6,500",0.3,0.4,27.6,39.0,32.9,0.2
"-5,000",0.3,0.4,27.6,39.0,32.9,0.2
"-3,500",0.1,0.3,34.0,45.8,20.0,0.1
"-2,000",0.1,0.9,56.9,42.9,0.1,0.0
"-6,500",1.4,2.1,21.1,24.7,51.4,1.4
"-5,000",1.4,2.1,21.1,24.7,51.4,1.4
"-3,500",3.3,4.0,25.8,29.1,40.5,1.4
"-2,000",4.0,5.5,46.6,33.7,14.9,0.9
"-6,500",4.7,4.0,15.4,18.8,58.3,2.8
"-5,000",4.7,4.0,15.4,18.8,58.3,2.8
"-3,500",8.6,6.1,17.3,23.1,48.1,3.0
"-2,000",15.5,7.7,30.9,29.0,22.0,2.6
