Neutral Particles for 350 (Cache Slough),,,,,,
OMR Flow Bin,Past Chipps,Upstream of Decker,Unresolved in Central Delta,Unresolved in OMR corridor,CVP Entrainment,SWP Entrainment
,,,,,,
"-6,500",0.2,51.0,99.8,0.0,0.0,0.0
"-5,000",0.2,51.0,99.8,0.0,0.0,0.0
"-3,500",0.1,52.1,99.9,0.0,0.0,0.0
"-2,000",0.1,53.9,99.9,0.0,0.0,0.0
"-6,500",12.5,59.4,89.6,1.3,0.7,0.1
"-5,000",12.5,59.4,89.6,1.3,0.7,0.1
"-3,500",13.1,59.5,88.9,1.6,0.4,0.0
"-2,000",19.6,63.5,81.0,0.6,0.0,0.0
"-6,500",19.6,63.2,85.9,2.9,2.5,0.1
"-5,000",19.6,63.2,85.9,2.9,2.5,0.1
"-3,500",22.2,63.5,81.4,1.9,1.5,0.1
"-2,000",36.7,67.9,64.4,1.1,0.0,0.0
