Surface Oriented Particles for 465 (Chipps),,,,,,
OMR Flow Bin,Past Chipps,Upstream of Decker,Unresolved in Central Delta,Unresolved in OMR corridor,CVP Entrainment,SWP Entrainment
,,,,,,
"-6,500",72.3,0.0,27.8,0.0,0.0,0.0
"-5,000",72.3,0.0,27.8,0.0,0.0,0.0
"-3,500",74.2,0.1,25.8,0.0,0.0,0.0
"-2,000",78.0,-0.1,22.0,0.0,0.0,0.0
"-6,500",86.5,0.4,13.5,0.0,0.0,0.0
"-5,000",86.5,0.4,13.5,0.0,0.0,0.0
"-3,500",88.1,0.0,11.9,0.0,0.0,0.0
"-2,000",92.0,-0.2,8.0,0.0,0.0,0.0
"-6,500",86.6,0.7,13.5,0.1,0.0,0.0
"-5,000",86.6,0.7,13.5,0.1,0.0,0.0
"-3,500",87.9,0.6,12.1,0.0,0.0,0.0
"-2,000",93.8,-0.3,6.3,0.0,0.0,0.0
