Neutral Particles for 469 (Jersey Point),,,,,,
OMR Flow Bin,Past Chipps,Upstream of Decker,Unresolved in Central Delta,Unresolved in OMR corridor,CVP Entrainment,SWP Entrainment
,,,,,,
"-6,500",1.7,13.0,99.3,0.9,0.0,0.0
"-5,000",1.7,13.0,99.3,0.9,0.0,0.0
"-3,500",2.4,13.1,98.1,0.5,0.0,0.0
"-2,000",3.0,11.0,97.3,0.3,0.0,0.0
"-6,500",12.3,22.8,91.7,2.4,1.4,0.2
"-5,000",12.3,22.8,91.7,2.4,1.4,0.2
"-3,500",16.8,24.1,85.4,1.4,0.5,0.3
"-2,000",24.6,19.9,76.1,0.6,0.1,0.0
"-6,500",33.4,28.9,74.3,3.6,3.2,0.9
"-5,000",33.4,28.9,74.3,3.6,3.2,0.9
"-3,500",40.3,28.4,63.7,1.9,1.5,0.6
"-2,000",53.3,23.0,48.5,1.4,0.2,0.1
