Surface Oriented Particles for 469 (Jersey Point),,,,,,
OMR Flow Bin,Past Chipps,Upstream of Decker,Unresolved in Central Delta,Unresolved in OMR corridor,CVP Entrainment,SWP Entrainment
,,,,,,
"-6,500",1.1,16.8,100.9,2.0,0.0,0.1
"-5,000",1.1,16.8,100.9,2.0,0.0,0.1
"-3,500",1.6,17.8,99.8,1.3,0.0,0.0
"-2,000",2.5,19.9,97.9,0.5,0.0,0.0
"-6,500",19.0,26.4,92.1,7.0,2.8,1.3
"-5,000",19.0,26.4,92.1,7.0,2.8,1.3
"-3,500",26.5,27.9,78.0,2.8,1.6,0.1
"-2,000",31.6,27.7,71.9,3.0,0.3,0.2
"-6,500",31.1,31.6,85.1,6.4,5.7,4.1
"-5,000",31.1,31.6,85.1,6.4,5.7,4.1
"-3,500",46.0,34.8,61.2,3.2,3.8,0.2
"-2,000",52.8,30.6,53.3,3.9,0.9,1.3
