Neutral Particles for 465 (Chipps),,,,,,
OMR Flow Bin,Past Chipps,Upstream of Decker,Unresolved in Central Delta,Unresolved in OMR corridor,CVP Entrainment,SWP Entrainment
,,,,,,
"-6,500",,,,,,
"-5,000",57.5,-0.1,42.5,0.0,0.0,0.0
"-3,500",60.3,0.0,39.7,0.0,0.0,0.0
"-2,000",66.5,-0.1,33.5,0.0,0.0,0.0
"-6,500",,,,,,
"-5,000",62.6,0.6,37.5,0.1,0.0,0.0
"-3,500",67.1,0.1,32.9,0.0,0.0,0.0
"-2,000",73.1,0.1,26.9,0.0,0.0,0.0
"-6,500",,,,,,
"-5,000",72.1,1.0,28.2,0.2,0.1,0.0
"-3,500",79.3,0.6,20.8,0.0,0.0,0.0
"-2,000",84.5,0.2,15.6,0.1,0.0,0.0
